Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,7,0,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,0.14,0.28,0.42,0.14,0.42,bundesliga,2022-2023
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,24,20,1386,15.4,6,5,11,6,0,1,9,0,0.39,0.32,0.71,0.39,0.71,bundesliga,2022-2023
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,26,16,1435,15.9,5,3,8,5,0,0,2,2,0.31,0.19,0.5,0.31,0.5,bundesliga,2022-2023
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.13,0.13,0.26,0.13,0.26,bundesliga,2022-2023
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,17,15,1211,13.5,6,1,7,6,0,0,5,0,0.45,0.07,0.52,0.45,0.52,bundesliga,2022-2023
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
9,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,bundesliga,2022-2023
10,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.0,0.49,0.49,0.0,0.49,bundesliga,2022-2023
11,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,0.37,0.09,0.46,0.28,0.37,bundesliga,2022-2023
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,28,2406,26.7,2,2,4,2,0,0,7,0,0.07,0.07,0.15,0.07,0.15,bundesliga,2022-2023
15,Angeliño,es ESP,MF,Hoffenheim,25,1997,33,30,2617,29.1,0,8,8,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,bundesliga,2022-2023
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,34,2934,32.6,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,bundesliga,2022-2023
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,29,22,1981,22.0,3,6,9,3,0,0,2,0,0.14,0.27,0.41,0.14,0.41,bundesliga,2022-2023
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,4,493,5.5,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18,bundesliga,2022-2023
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,32,2767,30.7,5,3,8,2,3,5,5,0,0.16,0.1,0.26,0.07,0.16,bundesliga,2022-2023
20,Takuma Asano,jp JPN,"MF,FW",Bochum,27,1994,25,21,1713,19.0,3,3,6,3,0,0,1,0,0.16,0.16,0.32,0.16,0.32,bundesliga,2022-2023
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,0,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
22,Mehmet Aydin,de GER,"MF,DF",Schalke 04,20,2002,16,3,567,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
23,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
24,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,23,8,927,10.3,4,1,5,4,0,0,1,0,0.39,0.1,0.49,0.39,0.49,bundesliga,2022-2023
25,Sanoussy Ba,de GER,FW,RB Leipzig,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2022-2023
26,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22,2000,28,19,1659,18.4,3,2,5,3,0,0,6,1,0.16,0.11,0.27,0.16,0.27,bundesliga,2022-2023
27,Ridle Baku,de GER,"DF,MF",Wolfsburg,24,1998,33,29,2580,28.7,5,3,8,5,0,0,6,0,0.17,0.1,0.28,0.17,0.28,bundesliga,2022-2023
28,Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,23,3,584,6.5,0,1,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,bundesliga,2022-2023
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,31,25,2141,23.8,4,3,7,4,0,0,5,0,0.17,0.13,0.29,0.17,0.29,bundesliga,2022-2023
30,Gil Bastião Dias,pt POR,FW,Stuttgart,25,1996,7,6,398,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,bundesliga,2022-2023
