Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,22,2000,14.1,3,1,1,15,25,5,22,2,18,,,0,bundesliga,2023-2024
2,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,19,2003,1.1,0,0,0,6,4,0,0,0,2,,,0,bundesliga,2023-2024
3,Junior Adamu,at AUT,FW,Freiburg,22,2001,1.2,0,0,0,7,4,2,1,0,1,,,0,bundesliga,2023-2024
4,Sargis Adamyan,am ARM,"FW,MF",Köln,30,1993,8.9,2,0,0,18,13,8,4,5,10,,,0,bundesliga,2023-2024
5,Karim Adeyemi,de GER,"FW,MF",Dortmund,21,2002,10.1,6,1,1,20,19,1,24,3,14,,,0,bundesliga,2023-2024
6,Amine Adli,ma MAR,"MF,FW",Leverkusen,23,2000,10.0,5,0,0,14,28,7,22,5,7,,,0,bundesliga,2023-2024
7,Felix Agu,ng NGA,MF,Werder Bremen,23,1999,17.9,2,0,0,15,44,2,46,13,29,,,0,bundesliga,2023-2024
8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29,1994,15.1,4,0,0,28,15,5,3,4,2,,,0,bundesliga,2023-2024
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28,1995,12.2,7,0,0,15,14,0,4,19,18,,,0,bundesliga,2023-2024
10,Faride Alidou,de GER,"MF,FW",Köln,22,2001,14.2,4,0,0,21,23,3,40,8,4,,,0,bundesliga,2023-2024
11,Skelly Alvero,fr FRA,MF,Werder Bremen,21,2002,1.4,1,0,0,2,3,0,0,1,4,,,0,bundesliga,2023-2024
12,Nadiem Amiri,de GER,MF,Mainz 05,26,1996,14.6,5,0,0,11,32,1,124,14,11,,,0,bundesliga,2023-2024
13,Nadiem Amiri,de GER,MF,Leverkusen,26,1996,1.0,0,0,0,1,3,0,1,0,2,,,0,bundesliga,2023-2024
14,Kofi Amoako,de GER,MF,Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2023-2024
15,Robert Andrich,de GER,"MF,DF",Leverkusen,28,1994,18.8,4,0,0,23,14,0,14,20,18,,,0,bundesliga,2023-2024
16,Waldemar Anton,de GER,DF,Stuttgart,27,1996,32.1,7,0,0,25,26,0,13,39,27,,,1,bundesliga,2023-2024
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29,1994,13.5,5,0,0,13,17,18,53,2,12,,,0,bundesliga,2023-2024
18,Asaf Arania,il ISR,FW,Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2023-2024
19,Maximilian Arnold,de GER,MF,Wolfsburg,29,1994,27.8,9,0,0,37,46,0,110,26,33,,,0,bundesliga,2023-2024
20,Arthur,br BRA,MF,Leverkusen,20,2003,2.0,0,0,0,2,0,0,7,0,3,,,0,bundesliga,2023-2024
21,Takuma Asano,jp JPN,"FW,MF",Bochum,28,1994,22.1,2,0,0,14,22,23,38,4,6,,,0,bundesliga,2023-2024
22,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2023-2024
23,Noah Atubolu,de GER,GK,Freiburg,21,2002,34.0,0,0,0,0,3,0,0,0,0,,,0,bundesliga,2023-2024
24,Matthias Bader,de GER,"MF,DF",Darmstadt 98,26,1997,20.0,1,0,0,17,41,1,31,25,27,,,0,bundesliga,2023-2024
25,Ridle Baku,de GER,"MF,DF",Wolfsburg,25,1998,22.4,4,0,0,24,35,3,54,23,24,,,0,bundesliga,2023-2024
26,Samuel Bamba,de GER,FW,Dortmund,19,2004,0.5,0,0,0,1,1,0,4,1,1,,,0,bundesliga,2023-2024
27,Aymen Barkok,ma MAR,MF,Mainz 05,25,1998,3.6,2,0,0,15,3,0,14,2,5,,,0,bundesliga,2023-2024
28,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23,2000,29.0,8,0,0,57,52,3,6,33,42,,,0,bundesliga,2023-2024
29,Daniel Batz,de GER,GK,Mainz 05,32,1991,4.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2023-2024
30,Maximilian Bauer,de GER,DF,Augsburg,23,2000,9.0,3,0,0,13,11,0,1,12,10,,,0,bundesliga,2023-2024
31,Elias Baum,de GER,DF,Eintracht Frankfurt,17,2005,0.3,0,0,0,1,0,0,0,0,0,,,0,bundesliga,2023-2024
32,Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34.0,1,0,0,1,6,0,0,0,0,,,0,bundesliga,2023-2024
