Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,1.9,1,0,0,5,3,1,8,0,5,,,0,bundesliga,2022-2023
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,7.2,3,0,0,17,6,4,13,4,7,,,0,bundesliga,2022-2023
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,15.4,9,0,0,20,30,1,25,7,11,,,0,bundesliga,2022-2023
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,2,2,0,39,47,4,18,6,10,,,0,bundesliga,2022-2023
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,0.5,0,0,0,3,3,0,1,0,0,,,0,bundesliga,2022-2023
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,4,1,1,17,17,1,6,8,11,,,0,bundesliga,2022-2023
7,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,5,0,0,23,19,5,4,1,4,,,0,bundesliga,2022-2023
8,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,11,0,0,33,19,0,8,23,43,,,0,bundesliga,2022-2023
9,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,3.7,0,0,0,9,2,5,0,2,2,,,0,bundesliga,2022-2023
10,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,2.0,0,0,0,8,1,2,6,1,5,,,0,bundesliga,2022-2023
11,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,2.6,3,0,0,5,0,0,2,3,4,,,0,bundesliga,2022-2023
12,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,0,0,0,0,1,0,0,0,0,,,0,bundesliga,2022-2023
13,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,6,0,0,14,25,4,16,6,8,,,0,bundesliga,2022-2023
14,Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,7,0,0,35,20,0,4,41,37,,,1,bundesliga,2022-2023
15,Angeliño,es ESP,MF,Hoffenheim,25,1997,29.1,2,0,0,12,29,7,182,27,24,,,0,bundesliga,2022-2023
16,Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,4,0,0,31,31,1,32,39,26,,,0,bundesliga,2022-2023
17,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,2,0,0,24,40,15,64,6,15,,,0,bundesliga,2022-2023
18,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,1,0,0,7,10,0,12,7,8,,,0,bundesliga,2022-2023
19,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,5,0,0,34,64,0,153,32,35,,,1,bundesliga,2022-2023
20,Takuma Asano,jp JPN,"MF,FW",Bochum,27,1994,19.0,1,0,0,11,24,7,30,9,9,,,0,bundesliga,2022-2023
21,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,0,0,0,2,3,2,2,4,0,,,0,bundesliga,2022-2023
22,Mehmet Aydin,de GER,"MF,DF",Schalke 04,20,2002,6.3,0,0,0,6,6,0,23,10,17,,,0,bundesliga,2022-2023
23,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2022-2023
24,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,1,0,0,17,1,8,0,2,3,,,0,bundesliga,2022-2023
25,Sanoussy Ba,de GER,FW,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2022-2023
26,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22,2000,18.4,6,1,1,18,14,2,27,16,10,,,0,bundesliga,2022-2023
27,Ridle Baku,de GER,"DF,MF",Wolfsburg,24,1998,28.7,6,0,0,27,32,4,72,22,24,,,0,bundesliga,2022-2023
28,Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,6.5,1,0,0,17,4,0,12,2,9,,,0,bundesliga,2022-2023
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,5,0,0,48,33,3,6,43,39,,,0,bundesliga,2022-2023
30,Gil Bastião Dias,pt POR,FW,Stuttgart,25,1996,4.4,0,0,0,6,5,2,6,2,6,,,0,bundesliga,2022-2023
31,Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,8,0,0,24,22,1,2,24,16,,,0,bundesliga,2022-2023
32,Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34.0,2,0,0,0,0,0,0,0,0,,,0,bundesliga,2022-2023
33,Timo Baumgartl,de GER,DF,Union Berlin,26,1996,6.2,2,0,0,11,6,0,6,2,7,,,0,bundesliga,2022-2023
34,Julian Baumgartlinger,at AUT,MF,Augsburg,34,1988,6.2,1,0,0,5,9,0,2,4,4,,,0,bundesliga,2022-2023
35,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22,1999,28.5,7,0,0,66,50,9,28,16,19,,,0,bundesliga,2022-2023
36,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,25,1996,0.2,0,0,0,1,1,0,0,0,0,,,0,bundesliga,2022-2023
37,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,28,1994,15.7,2,0,0,22,9,8,11,9,15,,,0,bundesliga,2022-2023
38,Sheraldo Becker,sr SUR,FW,Union Berlin,27,1995,28.4,4,0,0,28,26,25,138,2,6,,,0,bundesliga,2022-2023
39,Kevin Behrens,de GER,FW,Union Berlin,31,1991,17.1,6,0,0,35,26,12,8,5,8,,,0,bundesliga,2022-2023
40,Stefan Bell,de GER,DF,Mainz 05,30,1991,26.6,9,0,0,47,11,4,15,45,29,,,0,bundesliga,2022-2023
41,Karim Bellarabi,de GER,MF,Leverkusen,32,1990,0.9,0,0,0,2,0,2,7,0,0,,,0,bundesliga,2022-2023
42,Jude Bellingham,eng ENG,MF,Dortmund,19,2003,29.9,8,0,0,41,73,2,32,32,43,,,0,bundesliga,2022-2023
43,Ramy Bensebaini,dz ALG,DF,Gladbach,27,1995,27.6,7,1,1,24,44,3,31,33,22,,,1,bundesliga,2022-2023
