Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
1,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,18,2003,7,173.0,25.0,5.7,1.9,0,,0,7,25.0,6,1.14,4.0,0.0,4.0,2.08,2.02,bundesliga,2022-2023
2,Sargis Adamyan,am ARM,FW,Köln,29,1993,24,644.0,27.0,21.0,7.2,4,62.0,0,20,20.0,4,1.13,10.0,16.0,-6.0,-0.84,-0.88,bundesliga,2022-2023
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,20,2002,24,1386.0,58.0,45.3,15.4,20,64.0,2,4,27.0,1,2.17,41.0,17.0,24.0,1.56,0.75,bundesliga,2022-2023
4,Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,26,1435.0,55.0,46.9,15.9,16,74.0,1,10,26.0,1,1.69,29.0,17.0,12.0,0.75,0.97,bundesliga,2022-2023
5,Felix Agu,ng NGA,"DF,MF",Werder Bremen,22,1999,3,49.0,16.0,1.6,0.5,0,,0,3,16.0,9,1.33,1.0,2.0,-1.0,-1.84,-1.48,bundesliga,2022-2023
6,Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,17,1398.0,82.0,45.7,15.5,17,82.0,6,0,,0,0.94,17.0,26.0,-9.0,-0.58,-0.42,bundesliga,2022-2023
7,Antonis Aidonis,de GER,DF,Stuttgart,21,2001,0,,,,,0,,0,0,,5,,,,,,,bundesliga,2022-2023
8,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,17,1211.0,71.0,39.6,13.5,15,79.0,3,2,15.0,0,1.47,23.0,22.0,1.0,0.07,0.17,bundesliga,2022-2023
9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,28,1950.0,70.0,63.7,21.7,21,81.0,14,7,35.0,3,1.04,21.0,29.0,-8.0,-0.37,-0.29,bundesliga,2022-2023
10,Lucas Alario,ar ARG,FW,Eintracht Frankfurt,29,1992,20,331.0,17.0,10.8,3.7,2,78.0,1,18,10.0,9,1.25,5.0,9.0,-4.0,-1.09,-1.42,bundesliga,2022-2023
11,Faride Alidou,de GER,FW,Eintracht Frankfurt,21,2001,15,182.0,12.0,5.9,2.0,0,,0,15,12.0,10,1.13,3.0,4.0,-1.0,-0.49,-0.71,bundesliga,2022-2023
12,Éder Álvarez Balanta,co COL,MF,Schalke 04,29,1993,6,238.0,40.0,7.8,2.6,3,50.0,0,3,29.0,3,1.5,2.0,3.0,-1.0,-0.38,0.74,bundesliga,2022-2023
13,Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,1,17.0,17.0,0.6,0.2,0,,0,1,17.0,8,0.0,0.0,2.0,-2.0,-10.59,-10.91,bundesliga,2022-2023
14,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,25,977.0,39.0,31.9,10.9,9,75.0,2,16,19.0,4,1.44,19.0,20.0,-1.0,-0.09,-0.48,bundesliga,2022-2023
15,Robert Andrich,de GER,MF,Leverkusen,27,1994,29,2406.0,83.0,78.6,26.7,28,85.0,24,1,15.0,0,1.55,50.0,38.0,12.0,0.45,1.0,bundesliga,2022-2023
16,Angeliño,es ESP,MF,Hoffenheim,25,1997,33,2617.0,79.0,85.5,29.1,30,86.0,23,3,13.0,0,1.09,38.0,51.0,-13.0,-0.45,-1.26,bundesliga,2022-2023
17,Waldemar Anton,de GER,DF,Stuttgart,26,1996,34,2934.0,86.0,95.9,32.6,34,86.0,27,0,,0,0.97,43.0,54.0,-11.0,-0.34,0.38,bundesliga,2022-2023
18,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,29,1981.0,68.0,64.7,22.0,22,81.0,10,7,29.0,2,1.21,32.0,40.0,-8.0,-0.36,1.64,bundesliga,2022-2023
19,Ayman Aourir,de GER,MF,Leverkusen,17,2004,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2022-2023
20,Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,10,493.0,49.0,16.1,5.5,4,60.0,0,6,42.0,0,0.8,7.0,10.0,-3.0,-0.55,-0.93,bundesliga,2022-2023
21,Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,32,2767.0,86.0,90.4,30.7,32,86.0,24,0,,0,1.47,53.0,44.0,9.0,0.29,0.29,bundesliga,2022-2023
22,Takuma Asano,jp JPN,"MF,FW",Bochum,27,1994,25,1713.0,69.0,56.0,19.0,21,75.0,4,4,33.0,0,0.88,24.0,38.0,-14.0,-0.74,0.47,bundesliga,2022-2023
23,Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,8,167.0,21.0,5.5,1.9,0,,0,8,21.0,2,0.38,1.0,3.0,-2.0,-1.08,-0.86,bundesliga,2022-2023
24,Noah Atubolu,de GER,GK,Freiburg,20,2002,0,,,,,0,,0,0,,8,,,,,,,bundesliga,2022-2023
25,Mehmet Aydin,de GER,"MF,DF",Schalke 04,20,2002,16,567.0,35.0,18.5,6.3,3,78.0,1,13,26.0,9,0.75,5.0,12.0,-7.0,-1.11,-0.06,bundesliga,2022-2023
26,Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,10,3.0,0.0,0.0,0.0,0.0,-0.24,bundesliga,2022-2023
27,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,23,927.0,40.0,30.3,10.3,8,81.0,3,15,19.0,3,1.22,13.0,17.0,-4.0,-0.39,-0.89,bundesliga,2022-2023
28,Sanoussy Ba,de GER,FW,RB Leipzig,18,2004,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,18,3.0,0.0,0.0,0.0,0.0,-0.68,bundesliga,2022-2023
29,Elias Bakatukanda,de GER,DF,Köln,18,2004,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2022-2023
30,Mitchel Bakker,nl NED,"MF,DF",Leverkusen,22,2000,28,1659.0,59.0,54.2,18.4,19,80.0,11,9,15.0,4,1.5,33.0,28.0,5.0,0.27,0.08,bundesliga,2022-2023
31,Ridle Baku,de GER,"DF,MF",Wolfsburg,24,1998,33,2580.0,78.0,84.3,28.7,29,86.0,23,4,25.0,0,1.48,52.0,41.0,11.0,0.38,0.76,bundesliga,2022-2023
