Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
1,Max Aarons,eng ENG,DF,Bournemouth,24.0,2000.0,1.0,0,0,0,,0.0,0.0,,,0,0,premier_league,2024-2025
2,Joshua Acheampong,eng ENG,DF,Chelsea,18.0,2006.0,1.9,0,2,0,0.0,1.06,0.0,0.0,,0,0,premier_league,2024-2025
3,Tyler Adams,us USA,MF,Bournemouth,25.0,1999.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,0,0,premier_league,2024-2025
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26.0,1997.0,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,0,0,premier_league,2024-2025
5,Simon Adingra,ci CIV,MF,Brighton,22.0,2002.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,0,0,premier_league,2024-2025
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27.0,1997.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,0,0,premier_league,2024-2025
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18.0,2005.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,0,0,premier_league,2024-2025
8,Ola Aina,ng NGA,DF,Nottingham Forest,27.0,1996.0,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,0,0,premier_league,2024-2025
9,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,23.0,2001.0,34.5,4,36,13,36.1,1.04,0.38,0.11,0.31,0,0,premier_league,2024-2025
10,Kristoffer Ajer,no NOR,DF,Brentford,26.0,1998.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,0,0,premier_league,2024-2025
11,Manuel Akanji,ch SUI,"DF,MF",Manchester City,29.0,1995.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,0,0,premier_league,2024-2025
12,Nathan Aké,nl NED,DF,Manchester City,29.0,1995.0,7.5,0,3,0,0.0,0.4,0.0,0.0,,0,0,premier_league,2024-2025
13,Carlos Alcaraz,ar ARG,MF,Southampton,21.0,2002.0,0.1,0,1,1,100.0,9.0,9.0,0.0,0.0,0,0,premier_league,2024-2025
14,Carlos Alcaraz,ar ARG,MF,Everton,21.0,2002.0,8.5,2,26,11,42.3,3.06,1.3,0.08,0.18,0,0,premier_league,2024-2025
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25.0,1998.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,0,0,premier_league,2024-2025
16,Alisson,br BRA,GK,Liverpool,31.0,1992.0,27.9,0,0,0,,0.0,0.0,,,0,0,premier_league,2024-2025
17,Miguel Almirón,py PAR,FW,Newcastle United,30.0,1994.0,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,0,0,premier_league,2024-2025
18,Olabade Aluko,,DF,Leicester City,,,0.0,0,0,0,,0.0,0.0,,,0,0,premier_league,2024-2025
19,Edson Álvarez,mx MEX,MF,West Ham United,26.0,1997.0,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,0,0,premier_league,2024-2025
20,Will Alves,eng ENG,MF,Leicester City,19.0,2005.0,0.0,0,0,0,,0.0,0.0,,,0,0,premier_league,2024-2025
