player_type,category,metric_key,metric,occurrences,matches,players,pct_non_null,avg_value
goalkeeper,defense,clearances,Clearances,530,262,42,100%,1.162
goalkeeper,defense,defensive_actions,Defensive actions,530,262,42,100%,1.204
goalkeeper,defense,interceptions,Interceptions,530,262,42,100%,0.011
goalkeeper,defense,recoveries,Recoveries,530,262,42,100%,7.691
goalkeeper,duels,aerials_won,Aerial duels won,146,130,29,100%,1.192
goalkeeper,duels,ground_duels_won,Ground duels won,104,100,23,100%,1.0
goalkeeper,duels,was_fouled,Was fouled,84,262,42,16%,1.19
goalkeeper,goalkeeping,goals_conceded,Goals conceded,530,262,42,100%,1.389
goalkeeper,goalkeeping,punches,Punches,530,262,42,100%,0.57
goalkeeper,goalkeeping,saves,Saves,530,262,42,100%,2.796
goalkeeper,goalkeeping,saves_inside_box,Saves inside box,530,262,42,100%,1.8
goalkeeper,goalkeeping,goals_prevented,Goals prevented,510,262,42,100%,-0.012
goalkeeper,passes,accurate_passes,Accurate passes,530,262,42,100%,21.562
goalkeeper,passes,passes_into_final_third,Passes into final third,498,262,42,100%,5.783
goalkeeper,physical_metrics,physical_metrics_distance_covered,Distance covered,8,4,3,100%,5379.5
goalkeeper,physical_metrics,physical_metrics_running,Running,8,4,3,100%,1474.75
goalkeeper,physical_metrics,physical_metrics_sprinting,Sprinting,8,4,3,100%,2.0
goalkeeper,physical_metrics,physical_metrics_topspeed,Top speed,8,4,3,100%,18.875
goalkeeper,physical_metrics,physical_metrics_walking,Walking,8,4,3,100%,3902.75
goalkeeper,top_stats,fouls,Fouls committed,530,262,42,100%,0.026
goalkeeper,top_stats,keeper_diving_save,Diving save,530,262,42,100%,1.26
goalkeeper,top_stats,keeper_high_claim,High claim,530,262,42,100%,0.83
goalkeeper,top_stats,keeper_sweeper,Acted as sweeper,530,262,42,100%,0.589
goalkeeper,top_stats,matchstats.headers.tackles,Tackles,530,262,42,100%,0.03
goalkeeper,top_stats,minutes_played,Minutes played,530,262,42,100%,89.438
goalkeeper,top_stats,player_throws,Throws,530,262,42,100%,3.932
goalkeeper,top_stats,rating_title,FotMob rating,530,262,42,100%,6.879
goalkeeper,top_stats,touches,Touches,530,262,42,100%,41.43
goalkeeper,top_stats,long_balls_accurate,Accurate long balls,528,262,42,100%,5.341
goalkeeper,top_stats,expected_goals_on_target_faced,xGOT faced,508,262,41,100%,1.393
goalkeeper,top_stats,fantasy_points,Fantasy points,492,244,35,100%,3.435
goalkeeper,top_stats,duel_won,Duels won,210,170,31,100%,1.324
goalkeeper,top_stats,expected_assists,Expected assists (xA),46,46,13,100%,0.011
goalkeeper,top_stats,xg_and_xa,xG + xA,46,46,13,100%,0.011
